layer,epsilon,cc,tag,mode,K,N,seed_a,seed_b,comp_a,comp_b,cosine_components,score_corr,label_a,label_b,label_token_jaccard
13,1.0,ambig,flip,chosen,10,200,0,1,0,9,-0.007313170470297337,-0.08472220001447654,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,1,1,0.9422524571418762,-0.04809186828207383,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,2,3,0.3919132351875305,0.04178582957230658,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,3,4,0.2812580168247223,0.03415911527368181,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,4,5,0.7862001061439514,0.0930558505154948,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,5,6,0.22658488154411316,0.1395964040043025,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,6,0,-0.0014801061479374766,-0.05102331839821488,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,7,7,0.6234928369522095,0.05101042305733877,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,8,8,0.442529559135437,0.024791590722546476,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,chosen,10,200,0,1,9,2,0.1376819908618927,0.010542984489027893,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,0,0,0.9546954035758972,0.07323739773199486,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,1,1,0.8259144425392151,0.18567563655190397,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,2,2,0.7587339878082275,0.1801809753575157,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,3,3,0.4157261550426483,0.061792647540161415,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,4,6,-0.033126138150691986,-0.028643372019769724,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,5,5,0.4479067027568817,0.16800944446547775,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,6,9,0.09320530295372009,0.029740784172398237,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,7,7,0.644281268119812,-0.030185244122556104,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,8,4,0.018987644463777542,-0.019197687336456604,MANUAL,MANUAL,1.0
13,1.0,ambig,flip,rejected,10,200,0,1,9,8,0.3793608546257019,0.14470590890455995,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,0,0,0.988237738609314,-0.024598400212886815,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,1,1,0.9426752924919128,0.12233972416297759,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,2,3,0.4573417007923126,-0.023788031075381334,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,3,9,0.061947718262672424,-0.0416097864445715,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,4,4,0.7883488535881042,0.0796054914548559,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,5,5,0.8109430074691772,0.021800332678608404,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,6,6,0.6360877752304077,0.021724646678381043,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,7,2,-0.023133056238293648,-0.06696772544816411,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,8,7,0.5290133357048035,-0.004491879295740391,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,chosen,10,200,0,1,9,8,0.28534790873527527,-0.03748982285616203,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,0,0,0.9891903400421143,0.015483661505090677,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,1,3,0.24192796647548676,0.05566893365876413,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,2,9,-0.10003071278333664,-0.17471649980297257,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,3,2,0.7247270941734314,0.04946780528276006,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,4,5,0.7277474403381348,0.06934182472430551,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,5,4,0.6311458349227905,0.06617203414320923,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,6,1,0.17320623993873596,0.1287173439995112,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,7,6,0.37351733446121216,0.029385592706202925,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,8,8,0.22434262931346893,0.014250816918805066,MANUAL,MANUAL,1.0
13,1.0,ambig,noflip,rejected,10,200,0,1,9,7,0.09800997376441956,0.024635770340072815,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,0,0,0.9396222233772278,0.09880059701060498,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,1,1,0.9161900281906128,-0.008814299377357952,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,2,3,0.22347474098205566,-0.03075366918756512,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,3,4,0.5312422513961792,0.11896955114303835,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,4,5,0.05608227103948593,-0.059227509759080754,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,5,8,0.09992530941963196,-0.1214605097567235,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,6,2,0.05208096280694008,-0.13627461905150834,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,7,9,0.3551495671272278,0.1071126920123757,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,8,7,0.5035721063613892,-0.05740586678872891,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,chosen,10,200,0,1,9,6,0.21996362507343292,-0.14679306739565484,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,0,0,0.9440292716026306,0.1446785050009355,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,1,1,0.95038241147995,0.019616360717715785,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,2,9,0.16463781893253326,0.08988789973506427,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,3,4,0.5514382123947144,0.16671978083019673,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,4,7,0.07212133705615997,-0.10973199804400928,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,5,6,0.44659772515296936,-0.06109520818523429,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,6,3,0.2904396653175354,0.16289298827314327,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,7,2,-0.0049615949392318726,-0.22653396500466738,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,8,5,0.12098787724971771,0.06486986637947438,MANUAL,MANUAL,1.0
13,1.0,disambig,flip,rejected,10,200,0,1,9,8,0.1243266835808754,-0.05797533689317089,MANUAL,MANUAL,1.0
