seed,layer,epsilon,cc,tag,mode,component,label,field,pearson_corr
0,13,1.0,ambig,flip,chosen,0,MANUAL,reward_delta,0.10375602803666097
0,13,1.0,ambig,flip,chosen,1,MANUAL,reward_delta,-0.5612504419105874
0,13,1.0,ambig,flip,chosen,2,MANUAL,reward_delta,-0.10429085319902187
0,13,1.0,ambig,flip,chosen,3,MANUAL,reward_delta,0.430187751510479
0,13,1.0,ambig,flip,chosen,4,MANUAL,reward_delta,-0.0050007920996395835
0,13,1.0,ambig,flip,chosen,5,MANUAL,reward_delta,0.09176883794996064
0,13,1.0,ambig,flip,chosen,6,MANUAL,reward_delta,0.24518355426401936
0,13,1.0,ambig,flip,chosen,7,MANUAL,reward_delta,0.08224180555928977
0,13,1.0,ambig,flip,chosen,8,MANUAL,reward_delta,0.15877329999455547
0,13,1.0,ambig,flip,chosen,9,MANUAL,reward_delta,-0.05001926089207915
0,13,1.0,ambig,flip,chosen,0,MANUAL,clean_margin,-0.04228631683329501
0,13,1.0,ambig,flip,chosen,1,MANUAL,clean_margin,-0.3759716942740562
0,13,1.0,ambig,flip,chosen,2,MANUAL,clean_margin,0.11037623894894975
0,13,1.0,ambig,flip,chosen,3,MANUAL,clean_margin,-0.20165258114626786
0,13,1.0,ambig,flip,chosen,4,MANUAL,clean_margin,-0.343180116605929
0,13,1.0,ambig,flip,chosen,5,MANUAL,clean_margin,0.2688537324635128
0,13,1.0,ambig,flip,chosen,6,MANUAL,clean_margin,-0.06112754033996431
0,13,1.0,ambig,flip,chosen,7,MANUAL,clean_margin,-0.3451375710825181
0,13,1.0,ambig,flip,chosen,8,MANUAL,clean_margin,0.03391169493691909
0,13,1.0,ambig,flip,chosen,9,MANUAL,clean_margin,-0.12972610630914533
0,13,1.0,ambig,flip,chosen,0,MANUAL,adv_margin,-0.013768871681016438
0,13,1.0,ambig,flip,chosen,1,MANUAL,adv_margin,-0.5621462554497373
0,13,1.0,ambig,flip,chosen,2,MANUAL,adv_margin,0.11969482896738294
0,13,1.0,ambig,flip,chosen,3,MANUAL,adv_margin,-0.09432164218330874
0,13,1.0,ambig,flip,chosen,4,MANUAL,adv_margin,-0.2933525946861614
0,13,1.0,ambig,flip,chosen,5,MANUAL,adv_margin,0.26671963391294135
0,13,1.0,ambig,flip,chosen,6,MANUAL,adv_margin,-0.04925075978602136
0,13,1.0,ambig,flip,chosen,7,MANUAL,adv_margin,-0.3029900732262176
0,13,1.0,ambig,flip,chosen,8,MANUAL,adv_margin,0.06327550216570291
0,13,1.0,ambig,flip,chosen,9,MANUAL,adv_margin,-0.12835225055936164
0,13,1.0,ambig,flip,chosen,0,MANUAL,margin_delta,0.07558928287437754
0,13,1.0,ambig,flip,chosen,1,MANUAL,margin_delta,-0.4086669841314985
0,13,1.0,ambig,flip,chosen,2,MANUAL,margin_delta,0.008545633177405086
