context_condition,sign_flip,layer,epsilon,seeds,flip_rate_mean,flip_rate_std,mean_delta_margin,mean_delta_margin_std,mean_clean_margin,mean_adv_margin,n_base_mean,n_pairs_mean
ambig,False,1,1.0,2,1.0,0.0,-29.16263195037842,0.24489716971922343,-1.374789924621582,-30.537421875,41.5,200.0
ambig,False,1,2.0,2,1.0,0.0,-29.66664562225342,0.11238370164334502,-1.374789924621582,-31.041435546875,41.5,200.0
ambig,False,1,2.8,2,1.0,0.0,-29.66758312225342,0.11105787642862144,-1.374789924621582,-31.042373046875,41.5,200.0
ambig,False,13,1.0,2,1.0,0.0,-7.733263053894043,0.06542016292772006,-1.374789924621582,-9.108052978515625,41.5,200.0
ambig,False,13,2.0,2,1.0,0.0,-12.384233512878417,0.08037194962658965,-1.374789924621582,-13.7590234375,41.5,200.0
ambig,False,13,2.8,2,1.0,0.0,-14.435854606628418,0.07669830892745474,-1.374789924621582,-15.81064453125,41.5,200.0
ambig,False,21,1.0,2,0.2532051282051282,0.004532735776836827,-0.46778980255126956,0.004470614002239068,-1.374789924621582,-1.8425797271728515,41.5,200.0
ambig,False,21,2.0,2,0.49504662004662003,0.025136080217004267,-0.8948274326324464,0.017064051876319732,-1.374789924621582,-2.2696173572540284,41.5,200.0
ambig,False,21,2.8,2,0.5661421911421911,0.002884468221623446,-1.173988800048828,0.029851999142151826,-1.374789924621582,-2.5487787246704103,41.5,200.0
ambig,True,1,1.0,2,1.0,0.0,-32.08537212371826,0.15803501003170342,-1.374789924621582,-33.460162048339846,41.5,200.0
ambig,True,1,2.0,2,1.0,0.0,-33.53833507537841,0.43038980631393453,-1.374789924621582,-34.913125,41.5,200.0
ambig,True,1,2.8,2,1.0,0.0,-33.53692882537842,0.4248655345859071,-1.374789924621582,-34.91171875,41.5,200.0
ambig,True,13,1.0,2,1.0,0.0,-10.919287370738417,0.05024374491011025,-1.378929870907623,-12.29821724164604,41.5,201.0
ambig,True,13,2.0,2,1.0,0.0,-16.48489757537842,0.03452049428402283,-1.374789924621582,-17.8596875,41.5,200.0
ambig,True,13,2.8,2,1.0,0.0,-18.025131950378416,0.04236496013781401,-1.374789924621582,-19.399921875,41.5,200.0
ambig,True,21,1.0,2,0.5917832167832169,0.03337741799307125,-1.0756067276000976,0.0053947426614285275,-1.374789924621582,-2.45039665222168,41.5,200.0
ambig,True,21,2.0,2,0.8563519813519813,0.02183954510657754,-1.9265188193321228,0.004738415077677308,-1.374789924621582,-3.3013087439537045,41.5,200.0
ambig,True,21,2.8,2,0.9758158508158508,0.002060334444016736,-2.52945915222168,0.0012936722269325659,-1.374789924621582,-3.9042490768432616,41.5,200.0
disambig,False,1,1.0,2,1.0,0.0,-29.23521057128906,0.2925680202183054,0.9308062744140625,-28.304404296875,150.5,200.0
disambig,False,1,2.0,2,1.0,0.0,-30.01387268066406,0.24007362812279723,0.9308062744140625,-29.083066406249998,150.5,200.0
disambig,False,1,2.8,2,1.0,0.0,-29.98926330566406,0.21830799751439725,0.9308062744140625,-29.05845703125,150.5,200.0
disambig,False,13,1.0,2,1.0,0.0,-6.994690399169922,0.006824849294612173,0.9308062744140625,-6.063884124755859,150.5,200.0
disambig,False,13,2.0,2,1.0,0.0,-11.016004028320312,0.017749312428636848,0.9308062744140625,-10.08519775390625,150.5,200.0
disambig,False,13,2.8,2,1.0,0.0,-12.734320068359375,0.005077150985033895,0.9308062744140625,-11.803513793945314,150.5,200.0
disambig,False,21,1.0,2,0.11961321087954786,0.0016859663627725966,-0.36505777716636656,0.0003907771500232798,0.9308062744140625,0.5657484972476959,150.5,200.0
disambig,False,21,2.0,2,0.2558062522077005,0.0010927559758711217,-0.7005830860137939,0.005355023471391688,0.9308062744140625,0.23022318840026856,150.5,200.0
disambig,False,21,2.8,2,0.34561550688802545,0.014268270884945767,-0.9282234191894532,0.013275731288262224,0.9308062744140625,0.0025828552246093747,150.5,200.0
disambig,True,1,1.0,2,1.0,0.0,-36.88065002441407,0.2465646474032191,0.9308062744140625,-35.94984375,150.5,200.0
disambig,True,1,2.0,2,1.0,0.0,-38.63565002441406,0.23330639525597585,0.9308062744140625,-37.70484375,150.5,200.0
disambig,True,1,2.8,2,1.0,0.0,-38.61346252441406,0.23463222047069943,0.9308062744140625,-37.68265625,150.5,200.0
disambig,True,13,1.0,2,1.0,0.0,-13.304360961914064,0.06553426287600889,0.9308062744140625,-12.3735546875,150.5,200.0
disambig,True,13,2.0,2,1.0,0.0,-19.166978149414064,0.009794361140289143,0.9308062744140625,-18.236171875,150.5,200.0
disambig,True,13,2.8,2,1.0,0.0,-20.63432189941406,0.007883308389376053,0.9308062744140625,-19.703515625,150.5,200.0
disambig,True,21,1.0,2,0.41542299540798305,0.019950601959475595,-1.080158805847168,0.0011634957847480886,0.9308062744140625,-0.14935253143310545,150.5,200.0
disambig,True,21,2.0,2,0.7172818791946309,0.04627041017831438,-1.9512775230407713,0.003937689019179961,0.9308062744140625,-1.0204712486267091,150.5,200.0
disambig,True,21,2.8,2,0.8369613210879547,0.03518674242305001,-2.5475056076049807,0.0031344307780241548,0.9308062744140625,-1.616699333190918,150.5,200.0
