context_condition,sign_flip,layer,epsilon,frac_over_eps,mean_max_token_norm
ambig,False,1,1.0,0.0,0.9999860709905625
ambig,False,1,2.0,0.0,1.387358731329441
ambig,False,1,2.8,0.0,1.3877797096967697
ambig,False,13,1.0,0.0,1.000000028014183
ambig,False,13,2.0,0.0,2.0000000262260436
ambig,False,13,2.8,0.0,2.80000003695488
ambig,False,21,1.0,0.0,1.0000000120699406
ambig,False,21,2.0,0.0,2.0000000104308127
ambig,False,21,2.8,0.0,2.8000000137090684
ambig,True,1,1.0,0.0,1.0000000238418578
ambig,True,1,2.0,0.0,1.5270423930883408
ambig,True,1,2.8,0.0,1.5303712084889411
ambig,True,13,1.0,0.0,1.0000000418122135
ambig,True,13,2.0,0.0,2.000000033080578
ambig,True,13,2.8,0.0,2.7948650270700455
ambig,True,21,1.0,0.0,1.0000000193715095
ambig,True,21,2.0,0.0,2.0000000166893006
ambig,True,21,2.8,0.0,2.8000000447034834
disambig,False,1,1.0,0.0,0.9967664831876755
disambig,False,1,2.0,0.0,1.3916324602067471
disambig,False,1,2.8,0.0,1.3909972353279592
disambig,False,13,1.0,0.0,1.0000000321865081
disambig,False,13,2.0,0.0,2.0000000271201133
disambig,False,13,2.8,0.0,2.7799686652421953
disambig,False,21,1.0,0.0,1.000000011920929
disambig,False,21,2.0,0.0,2.000000005066395
disambig,False,21,2.8,0.0,2.800000029206276
disambig,True,1,1.0,0.0,1.0000000254809855
disambig,True,1,2.0,0.0,1.6138283601403236
disambig,True,1,2.8,0.0,1.620274357199669
disambig,True,13,1.0,0.0,1.0000000470876693
disambig,True,13,2.0,0.0,2.000000026524067
disambig,True,13,2.8,0.0,2.775128539800644
disambig,True,21,1.0,0.0,1.000000017285347
disambig,True,21,2.0,0.0,2.000000029206276
disambig,True,21,2.8,0.0,2.800000029206276
